True Label,Pred Label,Count,True Family,Pred Family,Different Family
144.Common_Tern,146.Forsters_Tern,15,tern,tern,0
111.Loggerhead_Shrike,112.Great_Grey_Shrike,13,shrike,shrike,0
175.Pine_Warbler,157.Yellow_throated_Vireo,10,warbler,vireo,1
071.Long_tailed_Jaeger,072.Pomarine_Jaeger,10,jaeger,jaeger,0
107.Common_Raven,029.American_Crow,9,raven,crow,1
155.Warbling_Vireo,153.Philadelphia_Vireo,9,vireo,vireo,0
023.Brandt_Cormorant,025.Pelagic_Cormorant,9,cormorant,cormorant,0
060.Glaucous_winged_Gull,066.Western_Gull,9,gull,gull,0
141.Artic_Tern,144.Common_Tern,8,tern,tern,0
059.California_Gull,066.Western_Gull,8,gull,gull,0
030.Fish_Crow,029.American_Crow,8,crow,crow,0
102.Western_Wood_Pewee,040.Olive_sided_Flycatcher,7,pewee,flycatcher,1
039.Least_Flycatcher,037.Acadian_Flycatcher,7,flycatcher,flycatcher,0
022.Chuck_will_Widow,105.Whip_poor_Will,6,widow,will,1
136.Barn_Swallow,137.Cliff_Swallow,6,swallow,swallow,0
025.Pelagic_Cormorant,024.Red_faced_Cormorant,6,cormorant,cormorant,0
065.Slaty_backed_Gull,066.Western_Gull,6,gull,gull,0
037.Acadian_Flycatcher,039.Least_Flycatcher,6,flycatcher,flycatcher,0
062.Herring_Gull,066.Western_Gull,6,gull,gull,0
092.Nighthawk,105.Whip_poor_Will,6,nighthawk,will,1
029.American_Crow,107.Common_Raven,6,crow,raven,1
155.Warbling_Vireo,154.Red_eyed_Vireo,5,vireo,vireo,0
137.Cliff_Swallow,136.Barn_Swallow,5,swallow,swallow,0
043.Yellow_bellied_Flycatcher,037.Acadian_Flycatcher,5,flycatcher,flycatcher,0
059.California_Gull,064.Ring_billed_Gull,5,gull,gull,0
050.Eared_Grebe,051.Horned_Grebe,5,grebe,grebe,0
064.Ring_billed_Gull,059.California_Gull,5,gull,gull,0
143.Caspian_Tern,145.Elegant_Tern,5,tern,tern,0
011.Rusty_Blackbird,009.Brewer_Blackbird,5,blackbird,blackbird,0
067.Anna_Hummingbird,068.Ruby_throated_Hummingbird,5,hummingbird,hummingbird,0
025.Pelagic_Cormorant,023.Brandt_Cormorant,5,cormorant,cormorant,0
072.Pomarine_Jaeger,071.Long_tailed_Jaeger,5,jaeger,jaeger,0
029.American_Crow,030.Fish_Crow,5,crow,crow,0
031.Black_billed_Cuckoo,033.Yellow_billed_Cuckoo,5,cuckoo,cuckoo,0
037.Acadian_Flycatcher,043.Yellow_bellied_Flycatcher,5,flycatcher,flycatcher,0
126.Nelson_Sharp_tailed_Sparrow,123.Henslow_Sparrow,4,sparrow,sparrow,0
141.Artic_Tern,146.Forsters_Tern,4,tern,tern,0
145.Elegant_Tern,143.Caspian_Tern,4,tern,tern,0
179.Tennessee_Warbler,173.Orange_crowned_Warbler,4,warbler,warbler,0
065.Slaty_backed_Gull,060.Glaucous_winged_Gull,4,gull,gull,0
066.Western_Gull,062.Herring_Gull,4,gull,gull,0
105.Whip_poor_Will,022.Chuck_will_Widow,4,will,widow,1
062.Herring_Gull,065.Slaty_backed_Gull,4,gull,gull,0
062.Herring_Gull,059.California_Gull,4,gull,gull,0
060.Glaucous_winged_Gull,062.Herring_Gull,4,gull,gull,0
059.California_Gull,062.Herring_Gull,4,gull,gull,0
184.Louisiana_Waterthrush,183.Northern_Waterthrush,4,waterthrush,waterthrush,0
199.Winter_Wren,196.House_Wren,3,wren,wren,0
011.Rusty_Blackbird,027.Shiny_Cowbird,3,blackbird,cowbird,1
173.Orange_crowned_Warbler,179.Tennessee_Warbler,3,warbler,warbler,0
191.Red_headed_Woodpecker,189.Red_bellied_Woodpecker,3,woodpecker,woodpecker,0
162.Canada_Warbler,168.Kentucky_Warbler,3,warbler,warbler,0
147.Least_Tern,146.Forsters_Tern,3,tern,tern,0
146.Forsters_Tern,147.Least_Tern,3,tern,tern,0
146.Forsters_Tern,144.Common_Tern,3,tern,tern,0
144.Common_Tern,141.Artic_Tern,3,tern,tern,0
