True Family,Pred Family,Count
Sparrow,Sparrow,95
Gull,Gull,80
Tern,Tern,68
Warbler,Warbler,40
Flycatcher,Flycatcher,28
Vireo,Vireo,22
Cormorant,Cormorant,21
Warbler,Vireo,21
Wren,Wren,18
Swallow,Swallow,17
Shrike,Shrike,16
Jaeger,Jaeger,15
Hummingbird,Hummingbird,14
Crow,Crow,13
Pewee,Flycatcher,13
Kingfisher,Kingfisher,13
Raven,Crow,12
Oriole,Oriole,9
Crow,Raven,9
Vireo,Warbler,8
Grebe,Grebe,8
Cuckoo,Cuckoo,8
Blackbird,Blackbird,7
Blackbird,Cowbird,7
Oriole,Warbler,6
Nighthawk,Will,6
Waterthrush,Waterthrush,6
Widow,Will,6
Albatross,Albatross,5
Flycatcher,Warbler,5
Sparrow,Thrasher,4
Cowbird,Blackbird,4
Auklet,Auklet,4
Will,Widow,4
Woodpecker,Woodpecker,4
Flycatcher,Sayornis,4
Gull,Fulmar,4
Hummingbird,Violetear,4
Wren,Sparrow,3
Swallow,Kingbird,3
Pipit,Thrasher,3
Fulmar,Albatross,3
Grackle,Blackbird,3
Grosbeak,Bunting,3
Blackbird,Grackle,3
Cowbird,Grackle,3
Warbler,Flycatcher,3
Pipit,Sparrow,2
Flycatcher,Pewee,2
Jaeger,Gull,2
Jaeger,Fulmar,2
Gull,Kittiwake,2
Flycatcher,Vireo,2
Flycatcher,Kingbird,2
Merganser,Merganser,2
Mockingbird,Kingbird,2
Tern,Jaeger,2
Crow,Cowbird,2
Cuckoo,Jaeger,2
Crow,Grackle,2
Crow,Blackbird,2
Tanager,Tanager,2
Waxwing,Waxwing,2
Redstart,Vireo,2
Sayornis,Warbler,2
Raven,Raven,2
Swallow,Blackbird,2
Albatross,Gull,1
Cuckoo,Blackbird,1
Cowbird,Sparrow,1
Cormorant,Mallard,1
Cormorant,Guillemot,1
Cowbird,Pipit,1
Cowbird,Wren,1
Cowbird,Warbler,1
Auklet,Cormorant,1
Blackbird,Crow,1
Blackbird,Jay,1
Bunting,Grosbeak,1
Bobolink,Sparrow,1
Bunting,Warbler,1
Cormorant,Albatross,1
Cormorant,Blackbird,1
Cormorant,Grebe,1
Auklet,Jaeger,1
Auklet,Albatross,1
Albatross,Tern,1
Ani,Raven,1
Grackle,Starling,1
Gull,Geococcyx,1
Guillemot,Auklet,1
Grackle,Catbird,1
Gull,Tern,1
Frigatebird,Jaeger,1
Fulmar,Jaeger,1
Finch,Grosbeak,1
Finch,Tanager,1
Finch,Oriole,1
Flycatcher,Tern,1
Cuckoo,Warbler,1
Ovenbird,Warbler,1
Ovenbird,Sayornis,1
Ovenbird,Geococcyx,1
Oriole,Will,1
Mockingbird,Nighthawk,1
Mockingbird,Shrike,1
Mockingbird,Sparrow,1
Mockingbird,Warbler,1
Mockingbird,Jay,1
Mockingbird,Gull,1
Loon,Auklet,1
Loon,Jaeger,1
Mallard,Gadwall,1
Mallard,Merganser,1
Meadowlark,Sparrow,1
Merganser,Gadwall,1
Kittiwake,Gull,1
Kittiwake,Fulmar,1
Jay,Jay,1
Jaeger,Albatross,1
Lark,Sparrow,1
Kittiwake,Tern,1
Flycatcher,Cuckoo,1
Flycatcher,Mockingbird,1
Grosbeak,Tanager,1
Grosbeak,Finch,1
Grackle,Crow,1
Shrike,Lark,1
Raven,Pelican,1
Raven,Cowbird,1
Pewee,Wren,1
Pewee,Sayornis,1
Swallow,Vireo,1
Swallow,Oriole,1
Swallow,Nuthatch,1
Sparrow,Warbler,1
Starling,Cowbird,1
Sparrow,Bunting,1
Sparrow,Pipit,1
Sparrow,Goldfinch,1
Sparrow,Blackbird,1
Sparrow,Catbird,1
Pewee,Swallow,1
Sayornis,Cowbird,1
Sayornis,Flycatcher,1
Sayornis,Kingbird,1
Shrike,Kingbird,1
Tern,Kingfisher,1
Warbler,Ovenbird,1
Warbler,Kingbird,1
Warbler,Goldfinch,1
Warbler,Catbird,1
Vireo,Goldfinch,1
Tern,Warbler,1
Thrasher,Mockingbird,1
Towhee,Warbler,1
Tern,Cowbird,1
Warbler,Wren,1
Warbler,Sayornis,1
Warbler,Redstart,1
Wren,Junco,1
Wren,Vireo,1
Wren,Warbler,1
Wren,Widow,1
